,Company,Regional Data,Company Size,Industry,Revenue,Founded,Job Description
17,Rogers Communications,"Sherbrooke, QC","more than 10,000",Telecommunications,more than $10B (USD),1960.0,"

At Rogers, our retail team is the heart of our success. They don’t just embrace the latest technology and content—it's part of who they are. They're outgoing and approachable team members who want to share their knowledge and experience with others. They understand that our customers rely on technology to enhance and simplify their lives and they're excited to show customers how our latest products and services can help.

 We’re growing our teams and are looking for retail representatives who are committed to innovating by sharing ideas that have real business impacts and creating a best-in-class customer experience for our communities and neighbours in our retail stores from coast-to-coast-to-coast.

 Let’s help make your passion for the latest technology a career possible. Consider the following opportunity!

 As a Sales Associate, you can expect to:



 Enhance the retail experience in our stores, by providing best in class service and value-added solutions to our customers


 Promote Rogers & Fido brands, including Rogers Mastercard 
Engage and grow your customer base with personalized communication and outreach to customers via phone calls and business text messaging
 Participate in community events and outreach efforts to support local small businesses.
 Operate with a creative spirit that can adapt to an ever-changing environment while enjoying the thrill of hitting sales goals


 What’s in it for you:



 Competitive compensation plus commissions
 One of the best flex health benefits, RRSP, TFSA and Pension plans in Canada
 Mental Health and Support benefits- 100% coverage
 Employee and Family Assistance Program benefits
 Employee discounts that can offer up to 50% off our Rogers & Fido products and services
 A commitment to fostering an inclusive and diverse workplace where all our team members can bring their whole selves to work
 A flexible schedule, including evenings & weekends (Min 20 hours/week)
 Career growth and development opportunities


 What we’re looking for:



 You are great with people and are passionate about delivering an exceptional customer experience
 You love being part of a team and are a great collaborator
 You are excited and inspired by technology


 You meet the minimum age of majority in your province 
English is an asset


 After you apply, watch your email
 Candidates will be required to complete an online assessment as a next step. If you are selected to move forward in the process, our recruitment team will reach out to you discuss the position further.

  Schedule: Part time Shift: Flex Time Length of Contract: Not Applicable (Regular Position) Work Location: 3050 Boul. De Portland (5236), Sherbrooke, QC Travel Requirements: Up to 10% Posting Category/Function: Retail (In Store / Hourly) & Sales and Service Requisition ID: 292066

 At Rogers, we believe the key to a strong business, is a diverse workforce where equity and inclusion are core to making everyone feel like they belong. We do this by embracing our diversity, celebrating our different perspectives, and working towards creating environments that empower our people to bring their whole selves to work. Everyone who applies for a job will be considered. We recognize the business value in creating a workplace where each team member has the tools to reach their full potential by removing any barriers for equal participation. We work with our candidates who are experiencing a disability throughout the recruitment process to ensure that they have what they need to be at their best. Please reach out to our recruiters and hiring managers to begin a conversation about how we can ensure that you deliver your best work. You matter to us! For any questions, please visit the Recruitment Process FAQ.

 Successful candidates will be required to complete a background check as part of the hiring process.  Posting Notes: Retail
"
18,Cybertec Communications Corp (CTCC),"Toronto, ON",,Telecommunications,,,"





      Cybertec Communication Corp. started as a two-person operation and has grown exponentially. We continually invest in employee training and certification to ensure we deliver best in class service to our customers.
     
 If you are looking for a challenging and rewarding career, we want to hear from you!







 PHONE







       +1 (416) 674-7200
     







 E-MAIL







       artemis@ctcc.co
     









Cybertec Communications Corp. is an industry leader in contract work for Rogers, Bell & Beanfield, currently hiring Cable Technicians to join our growing team.
 This full time position is located in Toronto and GTA.




 RESPONSIBILITIES:



 RG6/CAT5/Fibre/Cable pulling in prewire & rewire MDU
 Townhouse rough-ins
 Finishing plates/termination
 Installation of EMT pipe
 Aluminum molding
 Perform other tasks as required





 QUALIFICATIONS:



 Valid G license
 Must provide a clean driver’s abstract
 Bondable
 Must be able to work in all weather conditions
 Positive attitude & good communication skills
 Must be able to work on a ladder





 We provide paid training, competitive wages based on experience and benefits.
 If you meet these requirements, please submit your resume. Only qualified candidates will be contacted.


"
19,Rogers Communications,"33 Dundas St E, Toronto, ON","more than 10,000",Telecommunications,more than $10B (USD),1960.0,"

Are you ready to take your career to new heights and be a part of a dynamic team at Rogers Sports & Media? We believe in creativity, innovation, and collaboration in everything we do, and we are looking for people who share this mindset to join us. With a monthly reach of 30 million Canadians, you can help shape the future of sports, news, e-commerce, and entertainment. At Rogers, we value diversity and inclusivity and believe that every voice matters. Join us today and be a part of a team that is redefining the future of media.

 We’re looking for a Full Time Writer who can develop original and compelling story ideas to bring to the Italian community all over Canada.

 What you will do…

 Pitch fresh and original stories
 Edit, report and voice stories for both our newscast and digital media
 Organize material and write engaging, relevant and concise news stories under tight deadlines according to prescribed editorial style and format standards
 Interview politicians, experts and people within the Italian Canadian community all over the country
 Translate and repackage stories by many news sources
 Generate compelling story ideas and knowledgeable contacts and respond to breaking news situations quickly and accurately
 Generating compelling multi-media content
 Fluent in social media trends with personal accounts and the knowledge to use it to generate stories and ideas
 Host the newscast, becoming one of the faces of our news and helping us create a strong and enduring relationship with our viewers
 Help us build an even more reliable and appealing National newscast, which will also reflect our diverse and growing communities


 What you will bring…

 Must be fluent in Italian, oral and written, and also with a professional proficiency in English, oral and written
 Proven experience in journalism and media
 Ability to work in a group and in a fast and dynamic environment
 Proven experience generating powerful, compelling and original stories
 Ability to understand multi-platform coverage
 Knowledge of the cultural and political landscape in Toronto and Canada
 Excellent interpersonal and communication skills
 Ability to consistently generate original content ideas
 Availability to work on weekends and statutory holidays

 Schedule: Full time Shift: Variable Length of Contract: Not Applicable (Regular Position) Work Location: 33 Dundas St. East (909), Toronto, ON Travel Requirements: Up to 10% Posting Category/Function: Broadcasting & Editorial Requisition ID: 295238

 At Rogers, we believe the key to a strong business, is a diverse workforce where equity and inclusion are core to making everyone feel like they belong. We do this by embracing our diversity, celebrating our different perspectives, and working towards creating environments that empower our people to bring their whole selves to work. Everyone who applies for a job will be considered. We recognize the business value in creating a workplace where each team member has the tools to reach their full potential by removing any barriers for equal participation. We work with our candidates who are experiencing a disability throughout the recruitment process to ensure that they have what they need to be at their best. Please reach out to our recruiters and hiring managers to begin a conversation about how we can ensure that you deliver your best work. You matter to us! For any questions, please visit the Recruitment Process FAQ.

 Successful candidates will be required to complete a background check as part of the hiring process.  Posting Notes: Rogers Sports & Media
"
20,Wow! Mobile Boutique,"419 King Street West, Oshawa, ON","501 to 1,000",Telecommunications,Hidden by employer,,"
 Overview: 
 
 As advocates for a better wireless journey, our whole team at WOW! mobile boutique™
is passionate about retail - focusing on the customer’s needs and helping them make the 
  right call when selecting a solution for their lifestyle. It helps that we are supported by Canada’s best wireless carriers, TELUS, Rogers, Koodo, Fido, and Chatr and carry the coolest lineup of accessories. Our team makes a difference by offering personalized and impartial advice in 80 wireless kiosks nationwide and we continue to grow!
 


 What you will accomplish:


 Actively engage mall shoppers and follow the 5 Non-Negotiable Selling Standards
 Deliver on our brand promise by offering customers a unique, unbiased, professional, fun, friendly and thoroughly enjoyable retail shopping experience that will consistently generate a response of WOW!
 Achieve all key business metrics including sales, operations, and customer satisfaction
 Participate in all training – we want people who are interested in personal and professional development
 Stay up to date on current promotions, products, service and policies to maintain high levels of expertise


 You’ve got these skills?


 You love connecting with people face-to face 
Your ability to learn is off the charts and you are hungry for more (good with technology)
 You’ve done some selling in the past either in retail or hospitality and have used point of sale and inventory systems (extra points for candidates with >6 months of sales exp.)
 Available to work during mall hours (evenings and weekends)


 What we offer:


 Part time hours (12-20hrs/week)
 Competitive salary AND uncapped commission structure
 50% of your monthly cellphone bill
 Rewards & Recognition, based on weekly and monthly targets (Amazon gift cards, trips, etc)
 Hands-on training to make you shine!


 Physical Job Requirements:


 Ability to lift 30-50 pounds
 Ability to stand for extensive periods of time


 What Other Companies may call this job:


 Wireless Sales Associate
 Mobile Phone Sales Associate
 Salesclerk
 Salesperson
 Sales Representative
 Mobile Phone Specialist


   WOW! boutique mobile is committed to creating an environment that promotes diversity and is proud to be an equal opportunity employer.
 

   During the recruitment process, all applicants will be required to complete an online assessment and provide consent for criminal background checks.
 


 Match Retail is a certified Great Place to Work® in Canada!
 

   We have been recognized among Canada's top employers for the level of trust that our employees experience in their leaders, the level of pride they have in their jobs, and the extent to which they enjoy their colleagues.
 

   At Match Retail, trust is at the foundation of innovation, agility, resilience, and efficiency. We believe our people matter most and that's just one way we move ... differently.
 
"
21,Graco,"Toronto, ON","1001 to 5,000",Manufacturing,$1B to $5B (USD),1926.0,"

  Graco manufactures and markets premium equipment to move, measure, control, dispense and spray a wide variety of fluid and powder materials. What does that mean? Well, we pump peanut butter into your jar, and the oil in your car. We glue the soles of your shoes, the glass in your windows and the screen on your phone. We spray the finish on your vehicle, coatings on your pills, the paint on your house and texture on your walls. Graco is part of your daily life.
 


   Graco is a global leader in the design, development and manufacture of highly engineered systems for numerous industrial and commercial applications. This position supports our Contractor Equipment Division (CED) in Rogers, MN. At CED, our product line meets the needs of painting, striping, texturing, protective coating, fire proofing, spray foam and general contractors and includes all types of airless sprayers, line stripers, pressure washers, spray foam rigs and other proportioning solutions. (
  
   http://bit.ly/1zMGRDu
  ).
 


   Job Purpose:
 

   The Sales Intern is responsible for generating sales growth of designated CED products in the assigned market(s) using a demonstration and education-focused selling approach. Work closely with Graco CED Field Sales and Paint Store Channel Distribution.
 


This position is aimed at sophomore- and junior-level college students.
This is a home-based position. We are currently searching for a Sales Intern for the greater Toronto area. Travel only required throughout the metro area.
Start Date: The Sales Intern can begin on a part-time basis during school, with full-time hours in Summer 2024.



   Essential Duties:
 



     Grow sales in the assigned market.
   


     Use provided database resources to target end-users.
   


     Develop an immediate solid working relationship with assigned Paint Store Sales Reps.
   


     Conduct effective hands-on demonstrations of select Graco equipment.
   


     Implement marketing programs as required.
   


     Maintain a database of all daily activities (hands-on demonstrations and sales leads).
   


     Work closely with local CED sales staff to ensure leads are turned into sales in a timely manner.
   


     Coordination of all activities for the assigned market with CED sales staff.
   


   Position Requirements:
 



     Completed 2 years towards a Bachelor’s degree in business or technical field or equivalent.
   


     Hands-on, physical work experience (painting experience preferred).
   


     Evidence of mechanical aptitude.
   


     Basic paint coatings knowledge.
   


     Effective communication skills.
   


     Hands-on demonstration capability.
   


     Sales closing experience or capability.
   


     Willingness and ability to travel within assigned geography with assigned sales reps.
   



   #LI-KE1
 

   Power to Be
 

   At Graco, the Power to Be means providing the support, resources and freedom to pave your own way. Bring your unique attributes to the table, along with a commitment to being your best self, and you can be a part of a culture that rewards effort, celebrates uniqueness, and gives you the tools you need to succeed and become your best, fullest self along the way. Our culture empowers employees to chart their own career path. Our managers provide support and opportunities while offering freedom for employees to find their own Power to Be. Whether you decide to move up within the same department or expand to another cross-functional group, you will gain the well-rounded experience to succeed on your own terms.
 


   Graco has excellent opportunities available to individuals who want to be part of a fast-moving, growing company that is committed to quality, innovation and solving fluid handling problems for our customers. Graco is proud to be named a Best Place to Work by Fortune Magazine in 2016, 2018, 2019, 2021 & 2022. Graco offers attractive compensation, benefits and career development opportunities. Graco’s comprehensive benefits include medical, dental, stock purchase plan, 401(k), tuition reimbursement and more.
 


   Our company uses E-Verify to confirm the employment and eligibility of all newly hired employees. To learn more about E-Verify, including your rights and responsibilities, please visit 
  
   www.dhs.gov/E-Verify
  .
 


   Proven Quality. Leading Technology. Launch your career with Graco!
 
"
22,Rogers Communications,"Toronto, ON","more than 10,000",Telecommunications,more than $10B (USD),1960.0,"

Are you ready to take your career to new heights and be a part of a dynamic team at Rogers Sports & Media? We believe in creativity, innovation, and collaboration in everything we do, and we are looking for people who share this mindset to join us. With a monthly reach of 30 million Canadians, you can help shape the future of sports, news, e-commerce, and entertainment. At Rogers, we value diversity and inclusivity and believe that every voice matters. Join us today and be a part of a team that is redefining the future of media.

 We’re looking for a Broadcast Technician

 Rogers Media central campus is located at 1 Mount Pleasant in Toronto. This main campus contains both the Sportsnet and NHL studios as well as the master control facilities for; Sportsnet, City TV Network, OMNI TV Network and our other Rogers Specialty channels. The Broadcast Technician position we are hiring for is in the Production Engineering department.

 The central focus of Production Engineering is to support operations that creates content in the Studios, Control Rooms and News Rooms at Rogers Media. Broadcast Technicians in Production Engineering make sure that all technical systems are configured properly, performing at optimum levels and they trouble shoot to resolve any problems that may occur.

 Rogers is continually expanding our ability to reach more viewers through non-linear platforms and give them more content that they can consume in a variety of different ways. The Media Operations is our vehicle for doing that and the Broadcast Technicians are the ones constantly improving and maintaining that vehicle.

 What you will do…
 The Production Engineering technicians work on; morning, evening and weekend shifts to make sure they can cover the needs of Productions and Operations. When they are not working on new technical changes and additions to the Broadcast systems, they are answering inquiries from operators and trouble shooting problems to keep things running smoothly.

 As a Broadcast Technician at Rogers you will have a chance to use your Engineering talents and knowledge to further expand our ability to get content out to our customers in new and evolving ways. In properly maintaining and trouble shooting the Sportsnet systems you will allow the operators to better perform their functions to provide the best viewer experience possible.

 What you will bring…

 A real passion for working with Video/Audio files and streaming
 Knowledge of Video and Audio Transcoding
 Knowledge of compression systems like MPEG2 / MPEG4 / h.264 / h.265 / J2K
 Experience with TCP-IP Network Infrastructure
 Experience with different OS, server system set up.
 Knowledge of File Storage systems
 Experience with Editing and Graphics systems
 Experience with Broadcast Control Rooms and Studios
 Experience with Broadcast Video and Audio Test Equipment
 Knowledge of SMPTE 2110 IP Video systems and SDNO and/or SDVN networks
 Knowledge of Broadcast video/audio encoders and decoders an asset
 Some IPTV Experience
 Some knowledge of technical requirements for Social Media Publishing
 Ability to create system functional diagrams
 An excellent aptitude for trouble shooting


 Here’s what you can expect in return:



 A competitive salary and benefits that include access to our Employee Share Accumulation Program, Retirement Benefits and a variety of other perks including 50% off Rogers services and Blue Jays tickets
 A manager who deeply cares about your development and long-term career at Rogers
 A team that trusts and wants to win together
 Smart and accomplished colleagues who are focused on both the “what” and the “how” 
Your choice of hardware and software (iPhone or Android plus a laptop PC etc.)


 Together, we'll make more possible, and these six shared values guide and define our work:

 Our people are at the heart of our success
 Our customers come first. They inspire everything we do
 We do what’s right, each and every day
 We believe in the power of new ideas
 We work as one team, with one vision
 We give back to our communities and protect our environment


 What makes us different makes us stronger. Rogers has a strong commitment to diversity and inclusion. Everyone who applies for a job will be considered. We recognize the business value in creating a workplace where each team member has the tools to reach their full potential. At Rogers, we value the insights and innovation that diverse teams bring to work. We work with our candidates with disabilities throughout the recruitment process to ensure that they have what they need to be at their best. Please reach out to our recruiters and hiring managers to begin a conversation about how we can ensure that you deliver your best work. You matter to us! For any questions, please visit the Rogers FAQ.
 Schedule: Full time Shift: Rotating Length of Contract: Not Applicable (Regular Position) Work Location: 1 Mount Pleasant (083), Toronto, ON Travel Requirements: None Posting Category/Function: Broadcasting & Broadcast Technicians Requisition ID: 297360

 At Rogers, we believe the key to a strong business, is a diverse workforce where equity and inclusion are core to making everyone feel like they belong. We do this by embracing our diversity, celebrating our different perspectives, and working towards creating environments that empower our people to bring their whole selves to work. Everyone who applies for a job will be considered. We recognize the business value in creating a workplace where each team member has the tools to reach their full potential by removing any barriers for equal participation. We work with our candidates who are experiencing a disability throughout the recruitment process to ensure that they have what they need to be at their best. Please reach out to our recruiters and hiring managers to begin a conversation about how we can ensure that you deliver your best work. You matter to us! For any questions, please visit the Recruitment Process FAQ.

 Successful candidates will be required to complete a background check as part of the hiring process.  Posting Notes: Rogers Sports & Media
"
23,Rogers Communications,"Toronto, ON","more than 10,000",Telecommunications,more than $10B (USD),1960.0,"

Are you ready to take your career to new heights and be a part of a dynamic team at Rogers Sports & Media? We believe in creativity, innovation, and collaboration in everything we do, and we are looking for people who share this mindset to join us. With a monthly reach of 30 million Canadians, you can help shape the future of sports, news, e-commerce, and entertainment. At Rogers, we value diversity and inclusivity and believe that every voice matters. Join us today and be a part of a team that is redefining the future of media.

 We’re looking for an Associate Producer – Font

 Without you, there’s no show. The Associate Producer has a hand in all elements of production. This role will be made up predominantly of Font AP shifts. You’ll make essential contributions to the finished products we all see on Sportsnet Central each day. You’ll have a personal hand in creating and producing multiple types of content for the number one sports network in the country. Plus, you’ll have a chance to shape the future of sports media consumption as we explore new frontiers in the industry landscape.

 What you will do…

 Collaborate with the Producers to get an understanding of what the most important stories are and how we will tell them
 Build various chyron elements to add layers of value-add information to show elements
 Work with SN stats department to ensure we use the most interesting and informative statistics
 Exercise editorial judgment with graphic and image selection while showing a good eye for the highest quality content
 Offer opinions and suggestions on how to advance stories and improve content
 Prepare and/or write material which may include, boards, monitor graphics and lower thirds
 Identify creative opportunities to incorporate additional statistical elements in the show
 Enter font and super banner information, including researched stats, ensuring all information is factually and grammatically correct as well as following the designed style guide


 What you will bring…

 Creative ideas surrounding how to best execute content
 Tackle new challenges that improve story telling and broaden professional growth
 Exhibit ownership of content in shows
 Exemplary attention to detail
 Sound communication skills
 Knowledge surrounding various social media platforms
 Experience writing for broadcast
 Knowledge of all technical equipment used in production as well as a general understanding of how a newsroom operates
 Expert sports knowledge and editorial judgment
 Ability to work independently, and as part of a team
 Initiative to pitch statistic and content ideas to Producers
 Must be able to work various shifts (including weekends and evenings)

 Here’s what you can expect in return:

 A competitive salary and benefits that include access to our Employee Share Accumulation Program, Retirement Benefits and a variety of other perks including 50% off Rogers services and Blue Jays tickets
 A manager who deeply cares about your development and long-term career at Rogers
 A team that trusts and wants to win together
 Smart and accomplished colleagues who are focused on both the “what” and the “how

 Schedule: Full time Shift: Variable Length of Contract: Not Applicable (Regular Position) Work Location: 1 Mount Pleasant (083), Toronto, ON Travel Requirements: Up to 10% Posting Category/Function: Broadcasting & Production Requisition ID: 237781

 At Rogers, we believe the key to a strong business, is a diverse workforce where equity and inclusion are core to making everyone feel like they belong. We do this by embracing our diversity, celebrating our different perspectives, and working towards creating environments that empower our people to bring their whole selves to work. Everyone who applies for a job will be considered. We recognize the business value in creating a workplace where each team member has the tools to reach their full potential by removing any barriers for equal participation. We work with our candidates who are experiencing a disability throughout the recruitment process to ensure that they have what they need to be at their best. Please reach out to our recruiters and hiring managers to begin a conversation about how we can ensure that you deliver your best work. You matter to us! For any questions, please visit the Recruitment Process FAQ.

 Successful candidates will be required to complete a background check as part of the hiring process.  Posting Notes: Rogers Sports & Media
"
24,G1 Communications Ltd.,"Greater Toronto Area, ON",,,,,"G1 Communications Ltd. is an industry leader in contract work for Rogers Communications and is currently hiring for the following positions to join our growing team:
- General Labourer- RF Technician- Cable Technician- Swing Stage Operator- Directional Driller/Locator
Requirements (vary depending on position):
- VALID G LICENSE WITH A CLEAN DRIVER ABSTRACT - FOR ALL POSITIONS- Class A driver's license - with an ""R"" or ""Z"" endorsement an asset; with a clean driver's abstract and CVOR background - for Driller/Locator position- Bondable- Must be reliable- Must have a positive attitude & good communication skills- Must be able to work in fast paced working environment- Must have a strong work ethic- Must be punctual- Must be a team player and motivator- Must be able to work on a ladder- Experience with landscaping- Coaxial line, TDR, Meters (RF), locator - A-frame, signal mtr, splice distribution - cut-ins/cutovers, know your way around Rogers infrastructure, civil, MDU builds (RF Technician position)- Ability to work at heights- Able to lift heavy equipment, beams, cables and ropes (50+ lbs)- Read and interpret plans, locates or diagrams and perform required work (Driller/Locator position)- Help with site safety (setting up traffic plans, etc.) and assist with construction clean up and restoration as required- Strong commitment to safety - adhere to health & safety requirements and Book 7 standards for traffic conditions- Must have experience doing physical labour outdoors in all weather conditions- All other duties as required
Responsibilities and wage will vary depending on experience and position applied for.
Ideal Driller/Locator candidate will have a minimum of 1 year experience, as well as previous experience working around existing buried utilities.
Ideal Swing Stage Operator candidate will have a minimum of 1 year experience.
Willing to train the right candidate.
We thank all applicants, but only suitable candidates with the right credentials will be selected for interviews.
Job Type: Full-time
Salary: $18.00-$40.00 per hour
Schedule:

Monday to Friday

Ability to commute/relocate:

Greater Toronto Area, ON: reliably commute or plan to relocate before starting work (required)

Work Location: In person"
25,University of Ottawa,"40 Ruskin St, Ottawa, ON","1001 to 5,000",Education,$500M to $1B (USD),1848.0,"

  Job Type:
  Employee
 

   Duration in Months (for fixed-term jobs):
  12
 

   Job Family:
  Administrative Support
 

   # of Open Positions:
  1
 

   Faculty/Service - Department:
  Animal Ethics & Compl. Office
 

   Campus:
  Roger Guindon Hall
 

   Union Affiliation:
  SSUO
 

   Date Posted:
  November 23, 2023
 

   Closing Date:
  December 04, 2023
 
   Note: Applications will be accepted until 11:59 PM on the day prior to the Posting End Date above
 


   Hours per week:
  35
 

   Salary Grade:
  SSUO Grade 06
 

   Salary Range:
  $50,642.00 - $63,967.00
 

   Position Purpose
   Reporting to the Director, Research and Program Support, the incumbent assists with and performs a variety of tasks to support the administrative operations of a department, specific program or event, while ensuring compliance with applicable policies and procedures.
 


   In this role, your responsibilities will include:
 

 Administrative Tasks: Performs a variety of administrative tasks to support the operations of the department/program/event, such as entering and updating data, drafting and preparing a variety of documents, and managing schedules and mail, in keeping with uOttawa quality standards.
 Customer Service: Welcomes people who arrive in person; responds appropriately to general requests for information from customers and guides them in applying the general internal procedures of the department/program/event with a view to providing high quality service. Requests for information may be received and handled in person, by email, by phone or by mail.
 Records Management: Implements and maintains an effective filing and records management system to preserve confidentiality of the records and ensure that complete and accurate documentation is available for future reference or audit purposes. Maintains accurate records of key holders and related security access information for staff of the sector to ensure confidentiality of the records.
 Documentation: Drafts and updates documents for internal use on procedures, processes and systems related to the incumbent’s responsibilities.



   What you will bring:
 

 Postsecondary education in administration and office technology, or an equivalent combination of education and work experience.
 Minimum two (2) years of demonstrated experience in a similar role.
 Experience with computer systems and applications such as Windows, word processing software, spreadsheets, databases, the internet and email.
 Excellent communication, interpersonal and customer service skills.
 Experience interpreting, explaining and applying policies and regulations.
 Experience in bilingual administrative writing.
 Experience producing reports.
 Ability to produce high quality work under pressure while meeting strict deadlines.
 Initiative, self-reliance and good judgment.
 Strong organizational skills.
 Bilingualism – English and French (spoken and written).



   Key Competencies at uOttawa:
   Here are the required competencies for all or our employees at uOttawa:
  
 Planning: Organize in time a series of actions or events in order to realize an objective or a project. Plan and organize own work and priorities in regular daily activities.
   Initiative: Demonstrate creativity and initiative to suggest improvements and encourage positive results. Is proactive and self-starting. Show availability and willingness to go above and beyond whenever it is possible.
   Client Service Orientation: Help or serve others to meet their needs. This implies anticipating and identifying the needs of internal and external clients and finding solutions on how to meet them.
   Teamwork and Cooperation: Cooperate and work well with other members of the team to reach common goal(s). Accept and give constructive feedback. Able to adjust own behaviour to reach the goals of the team.
  
 The University of Ottawa embraces diversity and inclusion in the workplace. We are passionate about our people and committed to employment equity. We foster a culture of respect, teamwork and inclusion, where collaboration, innovation, and creativity fuel our quest for research and teaching excellence. While all qualified persons are invited to apply, we welcome applications from qualified Indigenous persons, racialized persons, persons with disabilities, women and LGBTQIA2S+ persons. The University is committed to creating and maintaining an accessible, barrier-free work environment. The University is also committed to working with applicants with disabilities requesting accommodation during the recruitment, assessment and selection processes. Applicants with disabilities may contact hrtalentmanagement@uottawa.ca to communicate the accommodation need. All qualified candidates are encouraged to apply; however, Canadians and permanent residents will be given priority.
  
 Note: if this is a union position: The hiring process will be governed by the current collective agreement related to the union affiliation noted above; you can click 
  
   here
   to find out more.
  

If this is a front-line position with responsibilities to interact with students, selected candidates must be rated at the Low Advanced proficiency level or higher for both oral comprehension and reading comprehension in their second official language. The rating is determined by a proficiency test designed by the Official Languages and Bilingualism Institute.



   Prior to May 1, 2022, the University required all students, faculty, staff, and visitors (including contractors) to be fully vaccinated against Covid-19 as defined in Policy 129 – Covid-19 Vaccination. This policy was suspended effective May 1, 2022 but may be reinstated at any point in the future depending on public health guidelines and the recommendations of experts.
 
"
26,Wireless DNA Inc.,"700 Lawrence Avenue West, North York, ON",51 to 200,Telecommunications,,,"Job description
About Us:Wireless DNA is an authorized exclusive Rogers and Fido dealer with over 20 years in the industry with an award-winning network of stores to bring the best and the latest in telecommunication technology. We have 27 different locations across the Greater Toronto area, including one at the Toronto Pearson airport.
We are passionate about innovation and believe that the best road to success lies through growth and happiness of our employees.
About this Role:Our Sales Associates are key players who reflect our brand by being the first point of contact with our customers. They are experts in building strong customer relationships and maintaining customer loyalty by constantly answering questions, pitching services and providing advice on the most suitable devices and plans. Most of all they are strong team players who demonstrate a high level of energy and support each other to meet monthly objectives and strive as a team.
Why work at Wireless DNA:

Competitive base compensation plus lucrative Commission
Comprehensive health and dental plan
Great Employee Referral Program
Opportunities to grow and develop your career
Great culture, with a diverse and inclusive Workplace
Employee discounts across Rogers & Fido services
Parking available on site
Monthly birthday recognition, acknowledgement, and celebrations
Opportunity to give back to the community through volunteering / participating in company events

*In this role you will:*

Demonstrate and deliver superior and consistent customer services, while taking ownership of problems by de-escalating any issues and providing alternative advice
Be pro-active to learning about the launch of new company products and services by keeping yourself up to date with all promotions in a timely manner
Utilize digital tools and systems to interact with our customers
Meet and exceed key performance metrics by regularly reviewing monthly sales targets and the percent to objective
Collaborate well with team members to provide alternative solutions to problems while effectively communicating any updates or changes to processes and procedures
Be able to work a varied and flexible schedule (Monday – Sunday)

You are someone who:

Always maintains a positive attitude when dealing with customers
Has demonstrated past customer service experience
Enjoys building rapport with customers
Ensures that customers understand our products and services
Is comfortable taking ownership, showing initiative, and taking lead
Ability to multi-task in a fast-paced environment
Can handle challenging feedback and stay self-motivated to achieve results
Takes pride in their work environment and acts as a brand ambassador

It is the policy of Wireless DNA to provide reasonable accommodations for qualified persons with disabilities who are applicants for employment. If you need assistance or accommodations to interview because of a disability, please inform the Recruiter (Human Resources) in advance. Employment opportunities will never be denied to anyone because of the need for an accommodation.
Mandatory Video Submission:
Please submit your Video and your resume using this link. Only the candidates who have submitted their video will be considered for the next round.
https://wdna.formstack.com/forms/salesrepvideo
Job Type: Full-time
Salary: $17.00-$18.50 per hour
Day range:

Monday to Friday
Weekends as needed

Shift:

8 hour shift

Work Location: In person"
